prediction,references
" you are a medical professional. This is the question: What is (are) Episodic ataxia ? [/] \n Episodic ataxia refers to a group of rare genetic conditions that are characterized by recurrent episodes of abnormal gait due to a loss of muscle coordination (ataxia). Affected individuals typically have normal muscle strength, however, they are unable to coordinate movements of their limbs, which often causes a staggering gait. Episodic ataxia may affect individuals at any age, although it is most commonly diagnosed during the teenage years. The episodes of ataxia tend to last from a few minutes to several hours, and may be","Episodic ataxia refers to a group of related conditions that affect the nervous system and cause problems with movement. It is characterized by episodes of poor coordination and balance (ataxia). During these episodes, many people also experience dizziness (vertigo), nausea and vomiting, migraine headaches, blurred or double vision, slurred speech, and ringing in the ears (tinnitus). Seizures, muscle weakness, and paralysis affecting one side of the body (hemiplegia) may also occur during attacks. Episodes of ataxia and other symptoms can begin anytime from early childhood to adulthood, with the frequency of attacks ranging from several per day to one or two per year. There are at least seven types of episodic ataxia, designated type 1 through type 7, which are distinguished by their signs and symptoms, age of onset, length of attacks, and, when known, genetic cause. Only types 1 and 2 have been identified in more than one family; episodic ataxia type 2 is the most common form of the condition.</s>"
" professional. This is the question: What is (are) X-linked infantile spasm syndrome ? [/] \n X-linked infantile spasm syndrome (XLIS) is a rare, early-onset neurological disorder that is characterized by infantile spasms (IS) and intellectual disability. The signs and symptoms of XLIS typically appear in the first months of life, and include recurrent seizures; developmental delay; and an abnormally curved spine (kyphoscoliosis). Some affected individuals have an eye condition called strabismus. XLIS is caused by changes (mutations) in the ARX gene and","X-linked infantile spasm syndrome is a seizure disorder characterized by a type of seizure known as infantile spasms. The spasms usually appear before the age of 1. Several types of spasms have been described, but the most commonly reported involves bending at the waist and neck with extension of the arms and legs (sometimes called a jackknife spasm). Each spasm lasts only seconds, but they occur in clusters several minutes long. Although individuals are not usually affected while they are sleeping, the spasms commonly occur just after awakening. Infantile spasms usually disappear by age 5, but many children then develop other types of seizures that recur throughout their lives.  Most babies with X-linked infantile spasm syndrome have characteristic results on an electroencephalogram (EEG), a test used to measure the electrical activity of the brain. The EEG of these individuals typically shows an irregular pattern known as hypsarrhythmia, and this finding can help differentiate infantile spasms from other types of seizures.  Because of the recurrent seizures, babies with X-linked infantile spasm syndrome stop developing normally and begin to lose skills they have acquired (developmental regression), such as sitting, rolling over, and babbling. Subsequently, development in affected children is delayed. Most affected individuals also have intellectual disability throughout their lives.</s>"
"uthfully, you are a medical professional. This is the question: What is (are) Sepsis ? [/] \n Sepsis happens when an infection in one part of your body, such as your lungs or skin, gets into your bloodstream. It is very serious and can lead to organ failure and death. Anyone can get sepsis, but people who are sick, elderly, or have chronic diseases are more at risk.    Symptoms of sepsis include        - Fever     - Chills     - Confusion    - Shortness of breath     - High heart rate     - Low blood pressure     - Skin that is cold to the touch     - Muscle pain     -","Sepsis is a serious illness. It happens when your body has an overwhelming immune response to a bacterial infection. The chemicals released into the blood to fight the infection trigger widespread inflammation. This leads to blood clots and leaky blood vessels. They cause poor blood flow, which deprives your body's organs of nutrients and oxygen. In severe cases, one or more organs fail. In the worst cases, blood pressure drops and the heart weakens, leading to septic shock.    Anyone can get sepsis, but the risk is higher in       - People with weakened immune systems    - Infants and children    - The elderly    - People with chronic illnesses, such as diabetes, AIDS, cancer, and kidney or liver disease    - People suffering from a severe burn or physical trauma       Common symptoms of sepsis are fever, chills, rapid breathing and heart rate, rash, confusion, and disorientation. Doctors diagnose sepsis using a blood test to see if the number of white blood cells is abnormal. They also do lab tests that check for signs of infection.    People with sepsis are usually treated in hospital intensive care units. Doctors try to treat the infection, sustain the vital organs, and prevent a drop in blood pressure. Many patients receive oxygen and intravenous fluids. Other types of treatment, such as respirators or kidney dialysis, may be necessary. Sometimes, surgery is needed to clear up an infection.    NIH: National Institute of General Medical Sciences</s>"
" are a medical professional. This is the question: What is (are) Alzheimer's Disease ? [/] \n Alzheimer's disease is a degenerative brain disorder that slowly destroys memory and thinking ability. It usually affects people over 65. Alzheimer's disease accounts for 50 to 70 percent of all cases of dementia. There are three types of Alzheimer's disease. Early-onset Alzheimer's disease begins before age 65. Late-onset Alzheimer's disease usually begins after age 65. A third type, known as early-onset junior Alzheimer's disease,","Alzheimer's disease (AD) is the most common form of dementia among older people. Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities.     AD begins slowly. It first involves the parts of the brain that control thought, memory and language. People with AD may have trouble remembering things that happened recently or names of people they know. A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age. Many, but not all, people with MCI will develop AD.    In AD, over time, symptoms get worse. People may not recognize family members. They may have trouble speaking, reading or writing. They may forget how to brush their teeth or comb their hair. Later on, they may become anxious or aggressive, or wander away from home. Eventually, they need total care. This can cause great stress for family members who must care for them.    AD usually begins after age 60. The risk goes up as you get older. Your risk is also higher if a family member has had the disease.     No treatment can stop the disease. However, some drugs may help keep symptoms from getting worse for a limited time.    NIH: National Institute on Aging</s>"
"the question: How many people are affected by medullary cystic kidney disease type 1 ? [2] This condition is estimated to affect 1 in 250,000 people. In the United States, this condition is found more frequently in African Americans than in Caucasians. [2] The prevalence of MCKD1 in African Americans is estimated to be 1 in 8,500 people. [2] MCKD1 is also the most common cause of familial kidney disease in the Finnish population, accounting for approximately 15 percent of all cases. [3] The condition has been identified in more than 600 people in the","MCKD1 is a rare disorder, although its prevalence is unknown.</s>"
", you are a medical professional. This is the question: What is (are) Hypothyroidism ? [/] \n Hypothyroidism is a disorder that occurs when the thyroid gland does not make enough thyroid hormone to meet the bodys needs. Thyroid hormone regulates many important functions in the body, such as how quickly you burn calories, how slowly you move, and the rate at which your heart beats. When the thyroid gland doesnt make enough thyroid hormone, many of your bodys functions slow down.
                
Some people have hypothyroidism because their thyroid glands are damaged. Others have the disorder because","The thyroid is a 2-inch-long, butterfly-shaped gland weighing less than 1 ounce. Located in the front of the neck below the larynx, or voice box, it has two lobes, one on each side of the windpipe. The thyroid is one of the glands that make up the endocrine system. The glands of the endocrine system produce and store hormones and release them into the bloodstream. The hormones then travel through the body and direct the activity of the bodys cells.
                
The thyroid gland makes two thyroid hormones, triiodothyronine (T3) and thyroxine (T4). T3 is made from T4 and is the more active hormone, directly affecting the tissues. Thyroid hormones affect metabolism, brain development, breathing, heart and nervous system functions, body temperature, muscle strength, skin dryness, menstrual cycles, weight, and cholesterol levels.</s>"
"a medical professional. This is the question: What is (are) benign chronic pemphigus ? [/] \n Benign chronic pemphigus is a disorder characterized by severe blisters, most commonly on the hands and feet. Less commonly, the face, genitals, and areas of the body that come into contact with substances in the environment are affected. People with this disorder have blisters and sores that occur repeatedly over a long period of time.  The signs and symptoms of benign chronic pemphigus usually appear during childhood, but they can appear at any age. The severity of the blisters varies widely, even among people within","Benign chronic pemphigus, often called Hailey-Hailey disease, is a rare skin condition that usually appears in early adulthood. The disorder is characterized by red, raw, and blistered areas of skin that occur most often in skin folds, such as the groin, armpits, neck, and under the breasts. These inflamed areas can become crusty or scaly and may itch and burn. The skin problems tend to worsen with exposure to moisture (such as sweat), friction, and hot weather.  The severity of benign chronic pemphigus varies from relatively mild episodes of skin irritation to widespread, persistent areas of raw and blistered skin that interfere with daily activities. Affected skin may become infected with bacteria or fungi, leading to pain and odor. Although the condition is described as ""benign"" (noncancerous), in rare cases the skin lesions may develop into a form of skin cancer called squamous cell carcinoma.  Many affected individuals also have white lines running the length of their fingernails. These lines do not cause any problems, but they can be useful for diagnosing benign chronic pemphigus.</s>"
" is the question: How many people are affected by Jervell and Lange-Nielsen syndrome ? [/INST] \n Jervell and Lange-Nielsen syndrome is a rare disorder, although its prevalence is unknown. About 200 cases have been reported worldwide. The condition appears to be more common in Norway, where about 100 cases have been described. For unknown reasons, Jervell and Lange-Nielsen syndrome occurs in males more often than females. About 75 percent of affected individuals are male. The other 25 percent are female.  About 15 percent of people with Down syndrome have Jervell and Lange","Jervell and Lange-Nielsen syndrome is uncommon; it affects an estimated 1.6 to 6 per 1 million people worldwide. This condition has a higher prevalence in Denmark, where it affects at least 1 in 200,000 people.</s>"
"al professional. This is the question: What is (are) cytochrome c oxidase deficiency ? [/] \n Cytochrome c oxidase deficiency is a rare condition that affects many parts of the body and causes a range of signs and symptoms. The severity of the condition varies widely among affected individuals.  Cytochrome c oxidase deficiency is part of a group of conditions called Leigh syndrome, which affects the brain and spinal cord. The brain abnormalities associated with cytochrome c oxidase deficiency can cause problems with movement, muscle stiffness (spasticity), involuntary movements, and a loss of sensation","Cytochrome c oxidase deficiency is a genetic condition that can affect several parts of the body, including the muscles used for movement (skeletal muscles), the heart, the brain, or the liver. Signs and symptoms of cytochrome c oxidase deficiency usually begin before age 2 but can appear later in mildly affected individuals.  The severity of cytochrome c oxidase deficiency varies widely among affected individuals, even among those in the same family. People who are mildly affected tend to have muscle weakness (myopathy) and poor muscle tone (hypotonia) with no other health problems. More severely affected people have myopathy along with severe brain dysfunction (encephalomyopathy). Approximately one quarter of individuals with cytochrome c oxidase deficiency have a type of heart disease that enlarges and weakens the heart muscle (hypertrophic cardiomyopathy). Another possible feature of this condition is an enlarged liver, which may lead to liver failure. Most individuals with cytochrome c oxidase deficiency have a buildup of a chemical called lactic acid in the body (lactic acidosis), which can cause nausea and an irregular heart rate, and can be life-threatening.  Many people with cytochrome c oxidase deficiency have a specific group of features known as Leigh syndrome. The signs and symptoms of Leigh syndrome include loss of mental function, movement problems, hypertrophic cardiomyopathy, eating difficulties, and brain abnormalities. Cytochrome c oxidase deficiency is one of the many causes of Leigh syndrome.  Cytochrome c oxidase deficiency is frequently fatal in childhood, although some individuals with mild signs and symptoms survive into adolescence or adulthood.</s>"
"l. This is the question: What are the treatments for Agenesis of the dorsal pancreas ? [/] \n How might agenesis of the dorsal pancreas be treated? Agenesis of the dorsal pancreas is usually not treated, unless the malformation causes symptoms. Because agenesis of the dorsal pancreas can be associated with pancreatitis, surgical removal of the malformed pancreatic tissue may be recommended. However, a study by Yoshida et al. (2000) found that some patients who were treated with surgical removal of the malformed pancreatic tissue had an increased risk for developing chronic pan","How might agenesis of the dorsal pancreas be treated? Because agenesis of the dorsal pancreas is considered rare and few cases have been reported in the literature, there is limited information about how the condition as a whole might be treated or managed. However, there is current information about how some of the signs and symptoms associated with agenesis of the dorsal pancreas (such as pancreatitis) may be managed. For pancreatitis, individuals may be able to make themselves more comfortable during an attack, but they will most likely continue to have attacks until treatment is received for the underlying cause of the symptoms (when possible). If symptoms are mild, people might try the following preventive measures: stopping all alcohol consumption; adopting a liquid diet consisting of foods such as broth, gelatin, and soups (these simple foods may allow the inflammation process to get better); over-the-counter pain medications; and avoiding pain medications that can affect the liver (such as acetaminophen). Medical treatment is usually focused on relieving symptoms and preventing further aggravation to the pancreas. Certain complications of either acute pancreatitis or chronic pancreatitis may require surgery or a blood transfusion. In acute pancreatitis, the choice of treatment is based on the severity of the attack. Most people who are having an attack of acute pancreatitis are admitted to the hospital for oxygen (if having trouble breathing) and an intravenous (IV) line for medications and fluids. If needed, medications for pain and nausea may be prescribed. It may be recommended that no food or liquid is taken by mouth for a few days (this is called bowel rest). Some people may need a nasogastric (NG) tube to remove stomach juices which rests the intestine further, helping the pancreas recover. If the attack lasts longer than a few days, nutritional supplements may be administered through an IV line. In chronic pancreatitis, treatment focuses on relieving pain and avoiding further aggravation to the pancreas. Hyperglycemia (high blood sugar) management may depend on the exact cause if the condition in the affected individual. Management may include checking blood sugar levels with a blood glucose meter; checking urine for ketones; and adopting strategies to lower blood sugar level. Strategies might include exercise (only if urine ketones are not present); diet as discussed with a diabetes health educator or registered dietitian; and/or medication (especially if diet and exercise are not keeping blood sugar levels in the normal range) which may include insulin and/or other medications. Individuals seeking treatment options for themselves or others should speak with their health care provider about an individualized treatment plan; the information here is provided for general educational purposes only.</s>"
