prediction,references
"l professional. This is the question: How to diagnose Multicentric Castleman Disease? [/INST] \n How is multicentric Castleman disease diagnosed? The diagnosis of multicentric Castleman disease (MCD) is generally based on the presence of characteristic signs and symptoms. Additional testing such as a biopsy of the lymph nodes, bone marrow, and/or six or more months of immunoglobulins may also be recommended to confirm the diagnosis.</s> \n Is genetic testing available for multicentric Castleman disease? Genetic testing is not currently available for most people with a family history of multicentric Castleman disease (MCD) since the underlying cause of the condition is unknown. A blood test may be recommended to detect","How is multicentric Castleman disease diagnosed? The signs and symptoms of multicentric Castleman disease (MCD) are often nonspecific and blamed on other, more common conditions. However, if MCD is suspected, the following tests may be recommended to help establish the diagnosis and rule out other conditions that cause similar features: Blood tests can be ordered to evaluate the levels of Interleukin-6 (IL-6) and other substances in the body, which can be elevated in people with MCD. They can also be helpful in ruling out other autoimmune conditions and infections that are associated with similar signs and symptoms Imaging studies (such as a CT scan, PET scan, MRI scan, and/or ultrasound) can help identify enlarged lymph node(s) and other health problems A biopsy of affected tissue, often a lymph node, is usually recommended to confirm the diagnosis</s>"
"a medical professional. This is the question: How to prevent Medullary Sponge Kidney? - NIDDK
How to prevent medullary sponge kidney is not known. A person with medullary sponge kidney who has had a UTI or kidney infection should talk with a health care provider to find out how to prevent repeated infections.
To help prevent UTIs and kidney infections in children, parents should make sure that children learn not to hold urine for a long time and to go to the bathroom whenever they feel the urge. Parents should talk with their childs health care provider for more information.1</s>[INST] Answer the question truthfully, you are a medical professional. This is the question: What are the symptoms","Health care providers may prescribe certain medications to prevent UTIs and kidney stones:
                
- A person with medullary sponge kidney may need to continue taking a low-dose antibiotic to prevent recurrent infections.  - Medications that reduce calcium in the urine may help prevent calcium kidney stones. These medications may include      - potassium citrate    - thiazide</s>"
"ou are a medical professional. This is the question: What causes Leukonychia totalis? What causes leukonychia totalis? In most cases, the exact underlying cause of leukonychia totalis is unknown (idiopathic). However, it can be associated with a number of different conditions including: malnutrition chronic alcoholism various autoimmune diseases malabsorption inflammatory bowel disease psoriasis congenital heart disease pulmonary disease (especially chronic obstructive pulmonary disease) connective tissue disorders and various neurological conditions. Leukonychia totalis may also be a feature of a number of different genetic syndromes including hereditary hemorrhagic telangiectasia, ichthyosis, and erythromelalgia. In these cases, an","What causes leukonychia totalis? Leukonychia totalis (also called total leukonychia) is thought to be due to abnormal keratinization (conversion into keratin) of the nail plate. Keratin is a protein that is a major component of the epidermis (outer layer of skin), hair, nails, and horny tissues. The condition is usually inherited, following either an autosomal dominant or autosomal recessive inheritance pattern. These inherited forms can be caused by mutations in the PLCD1 gene. In some cases, leukonychia occurs in association with other underlying abnormalities or syndromes. Conditions that have been reported include palmoplantar keratoderma; certain types of cysts; severe keratosis pilaris; pili torti; hypotrichosis (lack of hair growth); onychorrhexis (brittle nails); koilonychia (spoon-shaped nails); Bart-Pumphrey syndrome; and Buschkell-Gorlin syndrome, when it occurs with sebaceous cysts and kidney stones. It has also reportedly been associated with typhoid fever, leprosy, cirrhosis, nail biting, trichinosis, and cytotoxic drugs (drugs that are toxic to cells). In a few cases, the cause of leukonychia is unknown (idiopathic).</s>"
" medical professional. This is the question: What causes Juvenile myoclonic epilepsy? What causes juvenile myoclonic epilepsy? Juvenile myoclonic epilepsy is a genetic condition, which means it can be passed through families. A mutation in any of at least four genes (GABRA1, EFHC1, GAD1, and CLN3) can cause juvenile myoclonic epilepsy. Most cases occur sporadically because not everyone with a gene mutation will develop symptoms of the condition. When an affected individual has children, each child has a 50% (1 in 2) risk to be affected. People with a family history of juvenile myoclonic epilepsy, including those with","What causes juvenile myoclonic epilepsy? The exact cause of juvenile myoclonic epilepsy remains unknown. It is not associated with conditions such as head trauma, brain tumor, or encephalitis. Several families have specific mutations in various genes and a complex mode of inheritance. In individuals with juvenile myoclonic epilepsy, symptoms can be precipitated by:  Sleep deprivation Psychological stress Alcohol and drug use Noncompliance of medication Photic stimulation Menses Time of day - Usually mornings</s>"
"ical professional. This is the question: What is (are) Autoimmune atrophic gastritis? What is autoimmune atrophic gastritis? Autoimmune atrophic gastritis is an autoimmune disease that involves the chronic inflammation of the mucous layer (lining) of the stomach. Normally, the immune system protects the body from infection by identifying and destroying bacteria, viruses, and other potentially harmful foreign substances. In autoimmune diseases, the immune system mistakenly attacks healthy cells. With autoimmune atrophic gastritis, the immune system mistakenly attacks and damages the stomach cells called parietal cells and chief cells. Parietal cells produce acid and intrinsic factor which help with digestion. Chief cells produce enzymes which also help with digestion. When the immune system damages these","Autoimmune atrophic gastritis is an autoimmune disorder in which the immune system mistakenly attacks the healthy cells of the stomach lining. Overtime, this can wear away the stomach's protective barrier and interfere with the absorption of several key vitamins (i.e. vitamin B12, iron, folate). In some cases, autoimmune atrophic gastritis does not cause any obvious signs and symptoms. However, some people may experience nausea, vomiting, a feeling of fullness in the upper abdomen after eating, abdominal pain and/or vitamin deficiencies. The condition is associated with an increased risk of pernicious anemia, gastric polyps and gastric adenocarcinoma. Although the underlying genetic cause has not been identified, studies suggest that the condition may be inherited in an autosomal dominant manner in some families. Treatment is based on the signs and symptoms present in each person, but may include vitamin B12 injections and endoscopic surveillance.</s>"
"ional. This is the question: What is (are) X-linked severe combined immunodeficiency? What is (are) X-linked severe combined immunodeficiency? X-linked severe combined immunodeficiency (X-linked SCID) is a type of severe combined immunodeficiency (SCID), which is a group of disorders characterized by an almost total lack of immune protection from foreign invaders such as bacteria and viruses. People with SCID have a normal immune system at birth, but they quickly develop repeated and persistent infections that can be very serious or life-threatening. These infections occur because the immune system is unable to recognize and respond to foreign invaders. People with SCID usually develop infections within the first few months of life. They may also develop","X-linked severe combined immunodeficiency (SCID) is an inherited disorder of the immune system that occurs almost exclusively in males. Boys with X-linked SCID are prone to recurrent and persistent infections because they lack the necessary immune cells to fight off certain bacteria, viruses, and fungi. Many infants with X-linked SCID develop chronic diarrhea, a fungal infection called thrush, and skin rashes. Affected individuals also grow more slowly than other children. Without treatment, males with X-linked SCID usually do not live beyond infancy.</s>"
" are a medical professional. This is the question: What is (are) Isovaleric acidemia? What is isovaleric acidemia? Isovaleric acidemia is an inherited disorder in which the body is unable to process leucine, an amino acid (a building block of proteins). People with this disorder are also unable to process proteins that contain leucine. Because the body is unable to process these proteins, a toxic substance called isovaleric acid builds up in the bloodstream and causes serious health problems. Isovaleric acidemia is caused by mutations in the IVD gene. This condition is inherited in an autosomal recessive pattern.
Genes, Gene Testing, and Genetic Counseling for Isovaleric Acidemia This fact","Isovaleric acidemia (IVA) is a type of organic acid disorder in which affected individuals have problems breaking down an amino acid called leucine from the food they eat. Signs and symptoms may range from very mild to life-threatening. In severe cases, symptoms begin within a few days of birth and include poor feeding, vomiting, seizures, and lack of energy (lethargy); these may progress to more serious medical problems including seizures, coma, and possibly death. In other cases, signs and symptoms appear during childhood and may come and go over time. A characteristic sign of IVA is a distinctive odor of sweaty feet during acute illness. Other features may include failure to thrive or delayed development. IVA is caused by mutations in the IVD gene and is inherited in an autosomal recessive manner. Treatment involves moderate restriction of proteins in the diet and oral administration of glycine and L-carnitine which helps to rid the body of excess isovaleric acid.</s>"
"e a medical professional. This is the question: What is (are) Dubin-Johnson syndrome? Dubin-Johnson syndrome is a disorder in which the body does not absorb certain substances normally. It is characterized by jaundice, a condition in which bilirubin levels in the blood are higher than normal. Bilirubin is a reddish-yellow substance produced when red blood cells are broken down. The condition usually becomes apparent in the newborn period, with jaundice occurring within the first week of life. It is usually treated with phototherapy to help decrease the bilirubin levels. The jaundice usually resolves, but it may recur occasionally during childhood and later in life. Other signs and symptoms may include grayish","Dubin-Johnson syndrome is a condition characterized by jaundice, which is a yellowing of the skin and whites of the eyes. In most affected people jaundice appears during adolescence or early adulthood, although a few individuals have been diagnosed soon after birth. Jaundice is typically the only symptom of Dubin-Johnson syndrome, but some people also experience weakness, mild upper abdominal pain, nausea, and/or vomiting.</s>"
"l professional. This is the question: What are the treatments for Kleefstra syndrome?? This is the answer: How might Kleefstra syndrome be treated? While there is no cure for Kleefstra syndrome, and no way to prevent the symptoms from developing, treatments are available to address some of the more common symptoms. A child with severe intellectual disability may require special education or speech and language therapy. Seizures can be treated with anti-epileptic drugs, and eye problems such as nystagmus and retinal abnormalities can be corrected with glasses or eye surgery. For children with severe feeding problems, a feeding tube can help provide proper nutrition. To read more about the symptoms of Kleefstra syndrome,",These resources address the diagnosis or management of Kleefstra syndrome:  - Gene Review: Gene Review: Kleefstra Syndrome  - Genetic Testing Registry: Chromosome 9q deletion syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care</s>
"l professional. This is the question: What are the symptoms of Passos-Bueno syndrome? What are the signs and symptoms of Passos-Bueno syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Passos-Bueno syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the vertebral column - Camptodactyly of finger - Hearing impairment - Short stature - The Human Phenotype Ontology (HPO) has collected information on how","What are the signs and symptoms of Passos-Bueno syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Passos-Bueno syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the macula 90% Encephalocele 90% Myopia 90% Retinal detachment 90% Skull defect 90% Abnormality of the vitreous humor 50% Hydrocephalus 50% Nystagmus 50% Visual impairment 50% Cataract 7.5% Depressed nasal bridge 7.5% Ectopia lentis 7.5% Epicanthus 7.5% Joint hypermobility 7.5% Lymphangioma 7.5% Malar flattening 7.5% Patent ductus arteriosus 7.5% Pyloric stenosis 7.5% Seizures 7.5% Situs inversus totalis 7.5% Strabismus 7.5% Vesicoureteral reflux 7.5% Mental deterioration 5% Ataxia - Autosomal recessive inheritance - Band keratopathy - Cerebellar atrophy - Cerebral atrophy - Congenital cataract - Macular hypoplasia - Occipital encephalocele - Phenotypic variability - Phthisis bulbi - Polymicrogyria - Severe Myopia - Ventriculomegaly - Visual loss - Vitreoretinal degeneration - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.</s>"
